time,open,high,low,close,volume
2026-04-28 02:20:00,27367.7500,27374.2500,27357.5000,27358.2500,1345
2026-04-28 02:25:00,27358.2500,27373.0000,27355.7500,27369.0000,1567
2026-04-28 02:30:00,27368.2500,27374.7500,27358.2500,27366.0000,1648
2026-04-28 02:35:00,27366.5000,27366.5000,27344.5000,27351.7500,3189
2026-04-28 02:40:00,27352.2500,27356.7500,27332.0000,27335.2500,3179
2026-04-28 02:45:00,27335.7500,27343.2500,27322.2500,27326.0000,3034
2026-04-28 02:50:00,27326.7500,27337.0000,27323.5000,27334.0000,1928
2026-04-28 02:55:00,27333.7500,27341.2500,27330.0000,27337.0000,1270
2026-04-28 03:00:00,27337.2500,27338.5000,27321.0000,27329.2500,2345
2026-04-28 03:05:00,27328.7500,27345.7500,27328.0000,27337.5000,2423
2026-04-28 03:10:00,27337.0000,27340.7500,27322.2500,27336.7500,2230
2026-04-28 03:15:00,27338.2500,27349.0000,27330.0000,27339.5000,2599
2026-04-28 03:20:00,27340.5000,27346.2500,27331.7500,27338.5000,1309
2026-04-28 03:25:00,27338.0000,27341.0000,27320.0000,27328.2500,2306
2026-04-28 03:30:00,27328.7500,27344.7500,27325.7500,27335.2500,2242
2026-04-28 03:35:00,27334.5000,27347.7500,27332.2500,27341.5000,1461
2026-04-28 03:40:00,27342.0000,27352.7500,27336.5000,27339.0000,1773
2026-04-28 03:45:00,27339.0000,27346.2500,27330.5000,27334.2500,2108
2026-04-28 03:50:00,27334.7500,27336.0000,27322.0000,27328.2500,2247
2026-04-28 03:55:00,27328.2500,27343.2500,27323.5000,27337.7500,2410
2026-04-28 04:00:00,27338.0000,27340.2500,27307.0000,27309.2500,5401
2026-04-28 04:05:00,27309.2500,27318.5000,27302.2500,27313.2500,3744
2026-04-28 04:10:00,27314.0000,27318.5000,27302.5000,27315.0000,2993
2026-04-28 04:15:00,27315.2500,27347.0000,27315.2500,27334.0000,3199
2026-04-28 04:20:00,27334.0000,27345.2500,27330.2500,27332.0000,1770
2026-04-28 04:25:00,27331.7500,27357.5000,27331.5000,27357.5000,2857
2026-04-28 04:30:00,27356.7500,27359.5000,27350.7500,27354.0000,2874
2026-04-28 04:35:00,27353.5000,27359.2500,27346.5000,27354.2500,1874
2026-04-28 04:40:00,27355.5000,27357.2500,27342.2500,27344.7500,1752
2026-04-28 04:45:00,27344.5000,27348.2500,27335.5000,27340.2500,1703
2026-04-28 04:50:00,27340.0000,27348.7500,27335.2500,27342.0000,1303
2026-04-28 04:55:00,27342.5000,27352.7500,27339.7500,27352.2500,897
2026-04-28 05:00:00,27352.2500,27355.2500,27338.0000,27338.5000,2455
2026-04-28 05:05:00,27338.0000,27343.5000,27324.2500,27341.0000,2716
2026-04-28 05:10:00,27341.0000,27349.0000,27334.7500,27343.0000,1963
2026-04-28 05:15:00,27343.0000,27345.5000,27330.0000,27335.2500,2044
2026-04-28 05:20:00,27335.5000,27336.5000,27320.0000,27320.7500,1806
2026-04-28 05:25:00,27320.7500,27324.0000,27308.2500,27314.5000,2783
2026-04-28 05:30:00,27314.2500,27317.2500,27287.7500,27293.5000,5368
2026-04-28 05:35:00,27293.5000,27306.7500,27280.0000,27285.0000,4796
2026-04-28 05:40:00,27284.7500,27294.7500,27274.7500,27284.7500,3470
2026-04-28 05:45:00,27284.7500,27287.2500,27258.2500,27261.5000,5545
2026-04-28 05:50:00,27261.2500,27289.0000,27255.7500,27286.2500,4768
2026-04-28 05:55:00,27286.0000,27297.7500,27284.2500,27284.2500,3012
2026-04-28 06:00:00,27285.0000,27301.0000,27283.5000,27290.2500,3283
2026-04-28 06:05:00,27290.2500,27291.5000,27266.7500,27269.0000,3197
2026-04-28 06:10:00,27270.0000,27277.5000,27262.5000,27265.2500,2967
2026-04-28 06:15:00,27264.2500,27283.2500,27251.5000,27272.5000,4061
2026-04-28 06:20:00,27272.5000,27284.2500,27267.7500,27272.0000,2668
